Category,Industry/Category,Performance Overall,Views,Likes,Comments,URL
Talking Head,Sales,Good/Outlier relative to account followers/audience,3500000,111000,1500,https://www.instagram.com/reel/DEnKwgGJi9p
Talking Head,Self Improvement,Good/Outlier relative to account followers/audience,1100000,86000,211,https://www.instagram.com/reel/DNsh5buQkcf
Talking Head,Personal Finance/Content,Low Performer relative to account followers/audience,9400,130,22,https://www.instagram.com/reel/DHgTTjnsQat/
Talking Head,Business,Low Performer relative to account followers/audience,4300,95,0,https://www.instagram.com/reel/DXJglTmkl5c/
4x screen demo / tutorial,Business,Low Performer relative to account followers/audience,200,9,2,https://www.instagram.com/reel/DTI7NbLDFyZ/
4x screen demo / tutorial,Content Marketing,Good/Outlier relative to account followers/audience,570000,25000,130,https://www.instagram.com/reel/DByzqInKR9x/
4x screen demo / tutorial,Video Editing,Good/Outlier relative to account followers/audience,3200000,101000,1200,https://www.instagram.com/reel/DXY4pkkkdPv/
4x screen demo / tutorial,Video Editing,Low Performer relative to account followers/audience,3600,24,0,https://www.instagram.com/reel/DXHQHySERs8/
"4x cinematic B-roll (travel, food, product)",Travel/Adventure,Good/Outlier relative to account followers/audience,10900000,950000,3350,https://www.instagram.com/reel/DNHQNs9BZ-e/
"4x cinematic B-roll (travel, food, product)",Food,Good/Outlier relative to account followers/audience,11900000,515000,1154,https://www.instagram.com/reel/DNT_wptv1K9/
"4x cinematic B-roll (travel, food, product)",Product/Skincare,Low Performer relative to account followers/audience,34000,500,20,https://www.instagram.com/reel/DNqA9n1M96v/
"4x cinematic B-roll (travel, food, product)",Adventure,Low Performer relative to account followers/audience,14000,250,6,https://www.instagram.com/reel/DKaF4T2x4d4/
4x music/dance/performance,music,Low Performer relative to account followers/audience,19.4k,823,69,https://www.instagram.com/reels/DXfAOj5jfzC/
4x music/dance/performance,music,Good/Outlier relative to account followers/audience,3400000,497000,968,https://www.instagram.com/reel/DVqoC73k3wQ/
4x music/dance/performance,music/performance,Good/Outlier relative to account followers/audience,16.1M,937000,1297,https://www.instagram.com/reel/DQ4wwuvkiiC
4x music/dance/performance,music/performance,Low Performer relative to account followers/audience,3409,91,0,https://www.instagram.com/reel/CkaoOTZIKS_/
